,shopId,shopName,shopLatitude,shopLongitude,SDAddress,SDCategory,SDConsumption,SDTelephone,SDRate,SDDeliciousRate,SDServiceRate,SDEnvRate,SDRateCount,SDWatchCount,SDBookmarkCount,shopUrl,division,Division,DivisionC,DivisionE
0,125531,老如意手工水餃,24.83440001763,121.78123701771001,宜蘭縣礁溪鄉礁溪路六段220號,麵食點心,153.0,03-988-5099,40,13,13,13,4,636374,13,http://www.ipeen.com.tw/shop/125531,宜蘭縣礁溪鄉礁溪路六段220號,礁溪鄉,礁溪鄉,Jiaoxi Township
1,40797,宜蘭餅食品公司,24.676926018379998,121.76377201588998,宜蘭縣羅東鎮純精路二段130號,休閒零食,178.0,03-954-9881,45,16,16,15,135,4129926,104,http://www.ipeen.com.tw/shop/40797,宜蘭縣羅東鎮純精路二段130號,羅東鎮,羅東鎮,Luodong Township
2,28880,正好鮮肉小籠包-原-正常鮮肉小籠包,24.754241006500003,121.74739700561001,宜蘭縣宜蘭市泰山路25號之1(光復國小對面),麵食點心,67.0,03-932-5641,45,17,12,9,139,446565,796,http://www.ipeen.com.tw/shop/28880,宜蘭縣宜蘭市泰山路25號之1(光復國小對面),宜蘭市,宜蘭市,Yilan City
3,123235,蘭城晶英酒店-紅樓中餐廳,24.75367100501,121.75056000032,宜蘭縣宜蘭市民權路二段36號六樓,其它中式料理,862.0,03-910-1011,45,17,15,15,145,429024,661,http://www.ipeen.com.tw/shop/123235,宜蘭縣宜蘭市民權路二段36號六樓,宜蘭市,宜蘭市,Yilan City
4,33031,林場肉羹,24.68247700856,121.77127401067,宜蘭縣羅東鎮中正北路109號,其他小吃,40.0,03-955-2736,45,13,9,8,169,271337,383,http://www.ipeen.com.tw/shop/33031,宜蘭縣羅東鎮中正北路109號,羅東鎮,羅東鎮,Luodong Township
5,42367,柯氏蔥油餅-原礁溪蔥油餅,24.82118050805,121.76974300833008,宜蘭縣礁溪鄉礁溪路四段128號,其他小吃,29.0,None,45,16,13,11,165,462724,499,http://www.ipeen.com.tw/shop/42367,宜蘭縣礁溪鄉礁溪路四段128號,礁溪鄉,礁溪鄉,Jiaoxi Township
6,35637,阿灶伯羊肉,24.67592501592,121.76860401571001,宜蘭縣羅東鎮民權路(羅東夜市第1094號攤位),其他小吃,83.0,03-954-7736,45,15,10,8,128,268562,490,http://www.ipeen.com.tw/shop/35637,宜蘭縣羅東鎮民權路(羅東夜市第1094號攤位),羅東鎮,羅東鎮,Luodong Township
7,40317,奕順軒,24.676747016550003,121.76585601237,宜蘭縣羅東鎮民權路160號,西點烘焙、麵包,182.0,03-955-0216,50,18,16,14,113,464386,227,http://www.ipeen.com.tw/shop/40317,宜蘭縣羅東鎮民權路160號,羅東鎮,羅東鎮,Luodong Township
8,43082,阿宗芋冰城,24.85932069627501,121.82556770982805,宜蘭縣頭城鎮青雲路三段267號,冰淇淋,43.0,039-77-1362,45,17,14,13,101,199750,349,http://www.ipeen.com.tw/shop/43082,宜蘭縣頭城鎮青雲路三段267號,頭城鎮,頭城鎮,Toucheng Township
9,1007950,義豐蔥油派,24.67775710079,121.76695401163994,宜蘭縣羅東鎮民生路130號,其他小吃,31.0,03-957-3018,45,16,12,10,86,170530,493,http://www.ipeen.com.tw/shop/1007950,宜蘭縣羅東鎮民生路130號,羅東鎮,羅東鎮,Luodong Township
10,657442,宜蘭山寨村,24.78043270888,121.73650071336999,宜蘭縣宜蘭市梅洲二路140號,情境主題餐廳,138.0,03-928-9933,45,13,12,15,101,210029,527,http://www.ipeen.com.tw/shop/657442,宜蘭縣宜蘭市梅洲二路140號,宜蘭市,宜蘭市,Yilan City
11,81702,Mr-Brown-Café-伯朗咖啡館-頭城城堡咖啡一館,24.8845760044,121.83919400670004,宜蘭縣頭城鎮外澳里8鄰石空路95號,複合式,147.0,0924-020-088,45,11,11,17,91,340943,198,http://www.ipeen.com.tw/shop/81702,宜蘭縣頭城鎮外澳里8鄰石空路95號,頭城鎮,頭城鎮,Toucheng Township
12,66537,玻璃屋手作料理,24.75435500261,121.67623370068998,宜蘭縣員山鄉湖西村隘界路154-6號,景觀餐廳,735.0,03-922-9898,45,16,14,15,68,607043,985,http://www.ipeen.com.tw/shop/66537,宜蘭縣員山鄉湖西村隘界路154-6號,員山鄉,員山鄉,Yuanshan Township
13,956260,四圍堡車站,24.836655301870003,121.78587090468996,宜蘭縣礁溪鄉礁溪路七段76號,西點烘焙、麵包,173.0,03-987-1122,45,13,14,16,75,237292,601,http://www.ipeen.com.tw/shop/956260,宜蘭縣礁溪鄉礁溪路七段76號,礁溪鄉,礁溪鄉,Jiaoxi Township
